Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Volume,Volume 1week average,Sales growth 5Years,Down from 52w high,Price to Earning,Industry PE,Price to book value,Return over 1month,Return on equity,Return over 1day,Return over 1week,Return over 3months,Return over 1year,Profit growth 5Years,Debt to equity,Piotroski score,Change in FII holding,Change in DII holding,DMA 50,DMA 200,PEG Ratio,OPM,Change in promoter holding,YOY Quarterly sales growth,MACD,RSI,MACD Signal,MACD Signal Previous Day,MACD Previous Day
CARE Ratings,534804,CARERATING,INE752H01013,Capital Markets,Ratings,1649.00,4956.94,63705,60028,13.75,12.65,28.95,28.34,5.31,4.04,19.69,-1.43,1.47,6.03,-8.40,13.84,0.03,6.00,0.25,0.08,1647.47,1596.91,1.07,41.73,0.00,19.17,5.16,52.85,6.07,6.30,4.47
CCL Products,519600,CCL,INE421D01022,Agricultural Food & other Products,Tea & Coffee,1191.75,15913.18,211115,203842,29.11,3.60,41.02,25.87,6.78,11.18,18.00,-0.63,1.57,6.81,34.56,16.32,0.56,8.00,0.23,-0.10,1125.55,1019.07,3.74,16.44,0.00,46.49,20.92,64.21,17.19,16.25,19.40
Data Pattern,543428,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,4406.35,24668.47,1080277,876617,32.79,11.09,90.14,59.84,14.18,9.56,16.87,-4.65,2.53,40.68,55.78,37.56,0.00,8.00,0.93,1.41,4217.08,3408.34,2.97,40.44,0.00,-12.96,118.23,56.11,149.82,157.72,122.91
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,330.35,22871.66,3366890,3995107,64.11,10.67,21.15,30.82,6.17,4.93,51.12,-5.75,2.29,57.01,,158.17,0.10,7.00,-1.52,-0.22,307.66,251.79,0.05,34.34,0.00,62.25,14.12,61.54,14.27,14.31,14.59
Endurance Tech.,540153,ENDURANCE,INE913H01037,Auto Components,Auto Components & Equipments,2667.35,37519.70,171676,115140,17.39,13.39,38.75,30.40,5.45,3.63,15.41,0.79,-0.95,12.25,-0.53,13.16,0.19,7.00,-0.58,0.57,2580.95,2534.99,1.43,13.47,0.00,37.88,22.57,53.15,25.76,26.56,23.98
Fine Organic,541557,FINEORG,INE686Y01026,Chemicals & Petrochemicals,Specialty Chemicals,5018.95,15388.09,7218,9713,15.86,8.65,37.36,29.76,5.77,8.06,16.61,-2.42,-2.99,14.38,-1.59,27.91,0.03,6.00,-0.03,-0.15,4870.29,4626.87,-2.95,20.28,0.00,3.05,135.97,56.64,143.01,144.77,148.81
Grindwell Norton,506076,GRINDWELL,INE536A01023,Industrial Products,Abrasives & Bearings,2050.10,22698.69,39918,76611,13.41,10.65,58.59,74.17,8.96,6.38,16.17,-1.81,-3.83,39.52,19.86,11.76,0.02,9.00,-0.83,0.83,1927.80,1733.48,17.18,18.74,0.00,18.70,71.13,55.73,82.67,85.56,79.52
Inox India,544046,INOXINDIA,INE616N01034,Industrial Products,Other Industrial Products,1803.00,16364.67,270988,320169,21.73,14.10,62.90,26.32,14.64,18.62,26.13,-3.69,-4.38,52.05,50.87,22.03,0.07,6.00,-0.01,0.45,1670.10,1368.43,3.25,21.61,0.00,24.70,84.98,56.25,102.48,106.86,92.77
Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,6038.00,6605.57,5290,7874,18.09,10.22,27.05,48.64,5.02,11.59,20.33,0.41,0.42,11.70,-2.11,25.81,0.31,7.00,-0.10,-0.26,5704.40,5652.18,0.98,27.68,0.00,15.87,133.27,62.75,132.82,132.71,138.73
KSB,500249,KSB,INE999A01023,Industrial Products,"Compressors, Pumps & Diesel Engines",926.55,16125.59,104852,121818,17.41,9.89,58.58,45.25,9.61,14.81,18.39,-0.86,-2.51,9.67,14.04,25.25,0.00,7.00,0.14,-0.31,875.51,821.00,3.45,13.20,0.00,0.99,28.97,62.69,25.02,24.03,30.48
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1530.55,9138.65,371004,272983,46.29,13.72,39.15,22.02,13.13,6.76,40.32,-2.91,-4.80,20.33,6.90,74.10,0.51,8.00,0.18,-0.61,1492.95,1388.87,0.40,27.08,0.00,64.21,32.01,55.73,34.26,34.83,33.78
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,7574.55,38855.68,193026,156964,22.95,3.01,58.18,29.76,9.74,9.90,20.26,-2.06,0.55,27.51,58.18,22.16,0.32,8.00,0.04,-0.48,7144.60,6232.11,2.63,32.64,0.00,33.78,167.93,62.93,161.61,160.03,163.06
Park Medi World,544645,PARKHOSPS,INE119201023,Healthcare Services,Hospital,285.00,12310.04,493544,1158545,17.00,6.63,47.65,48.64,6.12,2.15,16.70,-1.25,-3.84,39.60,,10.77,0.18,6.00,-0.42,0.37,264.60,207.19,9.04,26.46,0.00,30.09,7.56,55.34,7.66,7.68,8.10
Pricol Ltd,540293,PRICOLLTD,INE726V01018,Auto Components,Auto Components & Equipments,624.95,7617.07,602124,685112,23.38,10.07,30.42,30.40,6.11,11.27,22.09,0.04,3.70,9.70,38.02,39.86,0.30,6.00,-1.66,-0.65,579.47,563.06,1.05,11.62,0.00,42.87,13.69,69.10,7.25,5.65,12.19
Privi Speci.,530117,PRIVISCL,INE959A01019,Chemicals & Petrochemicals,Specialty Chemicals,3635.00,14199.29,66875,77775,14.96,3.58,43.34,29.76,10.06,12.94,26.04,-0.33,-0.64,24.18,54.60,26.82,0.72,9.00,-0.27,0.42,3372.62,2979.44,0.30,25.21,0.00,17.60,111.41,61.47,100.48,97.75,116.15
Rainbow Child.,543524,RAINBOW,INE961O01016,Healthcare Services,Hospital,1420.90,14431.59,60525,82085,21.24,13.66,51.64,48.64,8.76,7.32,17.93,-1.42,1.94,13.41,-8.36,47.55,0.54,6.00,-2.00,1.63,1361.17,1321.27,5.24,31.95,0.00,24.26,24.17,63.33,27.15,27.90,24.39
Sai Life,544306,SAILIFE,INE570L01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,1222.85,25959.41,221084,289563,23.61,3.01,73.18,34.94,10.48,3.89,15.39,-0.79,-0.14,26.61,55.31,42.17,0.12,7.00,-0.24,0.13,1154.74,998.41,0.32,28.79,-0.09,3.91,27.07,57.74,28.62,29.00,28.78
Shivalik Bimetal,513097,SBCL,INE386D01027,Industrial Products,Iron & Steel Products,727.30,4189.59,1815846,983774,22.89,10.65,43.43,21.72,8.74,3.75,21.77,-1.68,-2.76,58.32,33.02,30.61,0.13,6.00,-0.86,0.29,681.16,558.58,6.29,22.90,0.20,22.80,23.27,52.46,26.48,27.28,26.47
Stylam Industrie,526951,STYLAMIND,INE239C01020,Consumer Durables,Plywood Boards/ Laminates,3076.95,5214.87,19433,18571,18.69,9.34,34.88,44.76,6.43,6.84,20.41,-6.87,0.43,46.46,102.31,22.03,0.04,6.00,0.77,0.07,2926.26,2396.81,2.19,19.51,1.92,6.66,107.93,61.52,133.51,139.90,113.70
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1338.20,17621.34,15718,23236,59.02,7.39,39.96,54.63,12.23,3.57,35.34,1.42,0.47,1.96,,53.94,0.17,7.00,-0.84,0.87,1264.48,1219.58,1.76,39.36,0.00,25.67,27.08,57.46,29.87,30.57,28.19
